Column A,Column B
320141,978515
939461,488343
667017,999325
143189,363313
298951,518785
664146,88702
809674,467399
707676,24408
21285,707202
21285,707202
898630,26141
417898,755306
857701,635006
834559,21979
282096,929669
417848,916178
289974,575637
659077,459614
546165,550106
407511,253764
269915,672036
813105,373102
93895,810301
999034,640046
172862,375065
765890,760126
561998,76429
924084,337760
712900,968331
916001,817387
329570,819950
419267,287189
240734,531185
110619,997659
684548,311305
197196,153907
264985,835781
902226,492826
426056,970486
959233,75635
942749,249501
134957,491217
215160,33083
870772,420547
666846,833898
235441,519588
105861,868392
283714,446686
862989,386547
394068,853750
921866,390471
615329,644060
808899,361324
274855,191551
894415,37263
695031,906980
464047,490248
853402,981119
982051,745062
446827,709181
470763,939000
350916,152555
195175,382115
996804,975034
402508,634463
719213,146483
278392,682216
100736,533889
387793,840865
468208,217780
814543,870014
253511,720708
654375,119990
966235,195270
821132,895702
458829,395195
833180,610182
929747,765515
792511,755207
456648,904087
978569,249286
990819,21017
945200,695750
484735,757398
552448,459724
911638,231345
502035,512108
105828,584478
29433,209370
926575,171324
503033,113700
119310,416204
554879,112701
417352,583308
799828,618327
155475,957458
27807,9301
636264,585001
129539,623151
989337,344722
231838,292906
676254,497541
960216,554477
61279,532903
327100,187830
841372,57033
477293,115194
224809,739846
223199,621070
875758,267861
712919,776316
493503,879041
24512,859996
448499,917919
943693,527876
358115,75949
669334,634647
306342,457115
206368,884682
411947,158170
30869,332512
822360,810333
199391,47380
914782,115025
371350,76295
517676,217504
341042,115948
117085,282944
840610,417321
342236,14645
897824,243711
683081,427320
443040,198892
318799,662555
657975,899421
637980,73827
404076,592745
633437,336008
243954,36346
533420,169006
742101,231944
198686,536608
134827,448681
720252,72516
220559,116690
58228,8775
34239,873740
235697,759612
644794,838062
464972,918292
231908,521494
759689,413023
200555,149775
792459,825561
626491,401026
217739,51113
19172,833322
477962,807825
636273,827469
462501,926290
184686,181918
273655,182849
196450,882569
710845,624238
36450,188340
401272,183329
891586,152663
193493,403661
777340,26676
146324,626725
99029,248538
665912,589742
185148,846241
301360,201587
861172,932423
154207,136715
28533,366582
246010,830536
856283,454968
721767,516334
464173,798183
254452,490970
553441,807195
461639,429763
91273,192935
778900,681938
895145,387160
249630,456567
714011,756748
352050,808260
973297,291336
274475,852348
898214,127941
489072,868
802764,182425
596783,179388
661567,477914
405768,221010
583286,711268
337664,989049
408486,34021
865753,178499
301849,541138
106072,707653
853179,591653
434283,930586
145228,214964
442374,169263
511999,61392
787714,321525
131298,656345
802081,752309
568138,690745
428069,827372
123394,692064
417196,369889
80415,984396
266273,527793
377445,146298
691028,521261
683742,25728
671492,177004
257170,732260
238650,63597
184197,429707
938376,487312
861400,474858
382620,302935
348608,251864
395915,920430
931384,873344
920204,776756
647835,388588
966775,663563
736631,582378
548055,527714
22030,129561
254556,621271
302392,684043
892342,564651
102108,800050
483070,177324
317070,791120
477461,399835
594512,38797
862767,600810
579604,841655
930363,818258
708328,362451
811170,224882
269109,628697
791432,19755
557891,465642
435882,597593
602308,853370
347207,129503
560227,941796
496691,658382
787007,833863
483085,505930
695400,405163
588833,505971
105518,251827
549972,118716
529852,346515
541378,93433
125420,163132
767702,363829
150548,68399
889989,258899
433642,871063
565171,557826
357240,732836
427682,59729
775535,600909
220343,14467
198107,649515
894209,844072
385558,522981
100997,480826
754766,792336
431980,837897
648527,780106
826436,765451
46374,160336
918928,353162
337488,151157
440330,317215
608329,628782
263090,872747
912780,977855
772607,696274
515108,547030
695149,888228
4879,164868
684019,972132
172559,410960
360502,195937
149130,56980
424009,670423
348995,329332
716976,43233
224904,598703
198223,807027
242700,236391
734160,600654
52230,839863
636740,573401
650370,724427
817594,114592
124586,290103
820220,403731
872511,89774
747667,558464
884109,461737
580491,953619
899651,425716
350290,675669
548866,629495
213868,967093
773166,253330
642460,674979
75703,889211
666969,812131
774570,44580
766460,358028
632140,982868
32361,986331
86478,485546
673593,355679
924693,838459
246608,236297
844840,433756
664786,123701
428325,482932
666406,931601
133304,401236
356398,762084
625766,390160
669408,456902
858704,233632
582517,531588
161028,997968
34221,628852
855658,514169
589573,288094
725676,800362
423498,138862
68951,766735
274529,389793
872298,689805
982718,505994
499624,788966
454339,24126
246748,926898
162842,192024
555541,80468
634980,844530
362515,771597
418477,175501
292860,822239
830477,115926
232988,871249
767391,157597
460422,964435
580170,622132
485199,864622
300747,993236
